iter	Passed	Remaining
0	140	140666
1	142	71179
2	144	47887
3	145	36336
4	147	29357
5	149	24708
6	151	21497
7	154	19194
8	156	17198
9	158	15680
10	160	14404
11	161	13326
12	165	12562
13	167	11791
14	168	11095
15	171	10536
16	172	9996
17	176	9623
18	180	9312
19	181	8909
20	184	8580
21	185	8260
22	188	8006
23	191	7777
24	193	7527
25	195	7317
26	196	7091
27	198	6893
28	201	6760
29	203	6589
30	206	6448
31	207	6285
32	209	6145
33	213	6061
34	215	5944
35	218	5843
36	219	5714
37	221	5600
38	222	5491
39	225	5417
40	227	5322
41	229	5224
42	230	5129
43	232	5049
44	235	4989
45	238	4942
46	240	4872
47	241	4792
48	243	4716
49	244	4647
50	247	4598
51	249	4556
52	251	4498
53	253	4437
54	255	4391
55	258	4351
56	262	4335
57	263	4278
58	264	4223
59	266	4177
60	267	4125
61	269	4082
62	274	4086
63	276	4038
64	277	3997
65	279	3956
66	280	3912
67	281	3862
68	285	3845
69	286	3805
70	287	3765
71	289	3732
72	291	3695
73	292	3659
74	294	3634
75	297	3616
76	298	3582
77	300	3553
78	302	3521
79	303	3489
80	305	3464
81	309	3460
82	310	3433
83	312	3407
84	313	3373
85	315	3349
86	316	3320
87	319	3312
88	322	3302
89	323	3275
90	325	3250
91	327	3231
92	335	3267
93	337	3250
94	338	3228
95	341	3216
96	345	3217
97	348	3204
98	349	3180
99	351	3163
100	353	3147
101	354	3121
102	358	3123
103	361	3110
104	362	3092
105	365	3079
106	366	3059
107	368	3042
108	371	3036
109	372	3017
110	374	2998
111	376	2981
112	377	2962
113	378	2943
114	380	2927
115	382	2915
116	384	2898
117	385	2881
118	386	2864
119	388	2849
120	390	2833
121	392	2828
122	394	2814
123	396	2799
124	397	2782
125	399	2769
126	401	2757
127	402	2738
128	405	2736
129	408	2732
130	410	2719
131	412	2712
132	413	2698
133	416	2690
134	419	2689
135	421	2674
136	422	2660
137	423	2646
138	425	2634
139	426	2621
140	430	2621
141	432	2610
142	433	2597
143	435	2588
144	436	2576
145	438	2563
146	439	2553
147	444	2560
148	446	2552
149	448	2541
150	449	2529
151	451	2518
152	455	2523
153	457	2511
154	458	2501
155	460	2491
156	461	2480
157	463	2469
158	466	2469
159	468	2461
160	470	2454
161	472	2443
162	473	2432
163	475	2422
164	477	2417
165	480	2413
166	482	2405
167	483	2394
168	484	2384
169	486	2375
170	490	2375
171	492	2372
172	494	2363
173	495	2353
174	497	2344
175	498	2334
176	500	2326
177	502	2321
178	505	2318
179	506	2308
180	507	2296
181	509	2288
182	511	2281
183	512	2272
184	516	2275
185	518	2267
186	519	2258
187	520	2249
188	522	2243
189	524	2234
190	526	2228
191	528	2222
192	529	2214
193	530	2205
194	532	2198
195	534	2190
196	535	2182
197	539	2186
198	541	2178
199	542	2169
200	543	2162
201	545	2155
202	547	2147
203	548	2142
204	551	2140
205	553	2132
206	554	2125
207	556	2120
208	558	2112
209	559	2104
210	562	2103
211	563	2096
212	565	2088
213	567	2083
214	568	2075
215	569	2068
216	574	2072
217	575	2065
218	577	2058
219	578	2052
220	580	2046
221	581	2039
222	583	2034
223	585	2030
224	587	2023
225	588	2017
226	590	2010
227	591	2004
228	593	1997
229	596	1997
230	598	1992
231	599	1985
232	601	1979
233	603	1974
234	604	1968
235	606	1963
236	609	1961
237	610	1955
238	612	1949
239	614	1945
240	615	1938
241	617	1934
242	621	1937
243	623	1931
244	625	1928
245	627	1922
246	628	1916
247	634	1923
248	636	1920
249	638	1915
250	640	1910
251	646	1917
252	647	1911
253	649	1907
254	650	1901
255	652	1895
256	653	1890
257	657	1890
258	658	1884
259	660	1879
260	661	1873
261	663	1868
262	664	1863
263	666	1859
264	670	1860
265	672	1854
266	673	1849
267	675	1844
268	677	1839
269	678	1834
270	681	1833
271	683	1828
272	684	1823
273	686	1818
274	688	1815
275	690	1810
276	694	1812
277	696	1809
278	698	1803
279	699	1798
280	701	1794
281	703	1790
282	705	1788
283	707	1784
284	709	1779
285	710	1774
286	712	1770
287	714	1765
288	717	1766
289	719	1761
290	720	1756
291	722	1752
292	724	1748
293	726	1744
294	729	1743
295	731	1740
296	733	1735
297	734	1730
298	736	1726
299	738	1722
300	740	1719
301	743	1717
302	744	1713
303	746	1708
304	747	1703
305	749	1700
306	751	1697
307	754	1694
308	756	1691
309	757	1686
310	759	1681
311	761	1678
312	762	1673
313	765	1672
314	767	1668
315	768	1664
316	770	1659
317	771	1655
318	773	1650
319	775	1647
320	777	1645
321	779	1640
322	780	1636
323	782	1632
324	783	1627
325	785	1623
326	787	1621
327	790	1618
328	791	1614
329	792	1609
330	794	1606
331	795	1601
332	797	1597
333	802	1600
334	804	1596
335	806	1592
336	807	1589
337	809	1584
338	812	1584
339	814	1581
340	816	1577
341	818	1574
342	819	1569
343	820	1565
344	823	1563
345	826	1561
346	827	1557
347	828	1552
348	830	1549
349	832	1545
350	833	1541
351	836	1540
352	839	1537
353	840	1533
